http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1312_2	BLUE WITING
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=500021_2	BLUEBERRIES or BILBERRIES
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8723_2	BOGUE or SEABREAM
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8725_2	BOTTARGA, GREY MULLET, ROE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100010_2	BRA CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=4002_2	BRANDY
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=600050_1	BREAD WHITE, COMMERCIALLY PREPARED (sandwich type)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=701337_1	BREAD, DURUM WHEATor SEMOLINA BREAD
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=60088_1	BREAD, prepared with milk
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=34_1	BREAD, prepared with oil
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=19055_1	BREAD, prepared with olives
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=30097_1	BREAD, RYE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=701016_1	BREAD, RYE, TOASTED
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=666005_1	BREAD, SOYA
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=700019_1	BREAD, toasted
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=805548_1	BREAD, WHEAT AND RYE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100154_1	BREAD, WHITE, plain
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=31_1	BREAD, WHITE, TYPE "0" (loaf=100g)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=32_1	BREAD, WHITE, TYPE "00" (loaf=50g)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=30_1	BREAD, WHITE, TYPE "1" (loaf&gt;500g)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100155_1	BREAD, WHITE, with added fats
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=33_1	BREAD, WHOLEMEAL
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=35_1	BREADCRUMBS
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=20_1	BREAD-STICKS
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=19038_1	BREAD-STICKS, WHOLEMEAL
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=999057_1	BREAKFAST CEREALS, AGGREGATED
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100061_2	BRESAOLA (lean beef meat, salted, raw)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=71787_2	BRIE CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=102_1	BROAD BEANS
